Search Name,Region
108 Medical Ltd,London & South East
15 Healthcare Ltd,London & South East
18A Charing Cross Dental Surgery,London & South East
20-20 Opticians Ltd.,Scotland & Northern Ireland
2gether NHS Foundation Trust,Wales & South West
4 Ways Healthcare Ltd,Midlands & East of England
40 Harley Street Group Practice,London & South East
5 Boroughs Partnership NHS Trust,North West
786 Magan Care Homes Private Limited,Wales & South West
92 Higher Drive Ltd T/A Highfield House,London & South East
A Peluso t/a Stratford House Dental Practice,London & South East
A S Lupin & Assocs Ltd,London & South East
A V ATKINSON LIMITED,London & South East
A Woodlands House,London & South East
A1 Chiro LTD,Scotland & Northern Ireland
Aarjay Heathcare Limited,Midlands & East of England
Abbey Chase Residential/NursingHome,London & South East
Abbey Court Nursing Home,London & South East
Abbey Grange Residential Care Home,Midlands & East of England
Abbey Health Care Homes Ltd,London & South East
Abbey House Uk Ltd,Midlands & East of England
Abbey Total Care Group Ltd,London & South East
Abbeyfield Ilkley Society Ltd,"North East, Yorkshire & the Humber"
Abbotsford care,Scotland & Northern Ireland
Abbotsford Nursing Home,London & South East
Abbott Diabetes Care UK Limited,London & South East
Abercorn Care Limited,Scotland & Northern Ireland
Abermad Nursing Home Limited,Wales & South West
Abermed Limited,Scotland & Northern Ireland
Abertawe Bro Morgannwg University Local Health Board,Wales & South West
Abingdon Court Care Home,London & South East
Abingdon Medical Practice,London & South East
ABM GROUPER LTD,London & South East
Abney Dental Practice,London & South East
Absolute Care (Scotland) Ltd.,Scotland & Northern Ireland
Absolute Care Homes ( central ) Ltd,Midlands & East of England
Abundante Vida Church,Wales & South West
AccuNostics Ltd,Scotland & Northern Ireland
ACL Care Homes Ltd,London & South East
Acorn Fostering Services Ltd,Midlands & East of England
Acorn Health Care Limited,London & South East
Acorn Lodge (bournemouth) LTD,Wales & South West
Acorn Lodge Care Home,London & South East
Adalah Residential Care Home Ltd,Midlands & East of England
Adderley Nursing Home,Midlands & East of England
Adelaide care limited,London & South East
Adelaide Lodge Care Home LLP,Wales & South West
Adelaide Nursing Home Ltd,London & South East
Adichis Healthcare Ltd,Midlands & East of England
Adiemus Care Limited,London & South East
Admiral Health Care Ltd,London & South East
ADP Dental Company Limited,North West
ADVENT ESTATES LTD,Midlands & East of England
AeroScout (U.K.) Ltd,London & South East
AETNA Global Benefits (Europe) Limited,London & South East
AFRICAN AND MEDICAL RESEARCH FUNDATION (UNITED KINGDOM),London & South East
African Caribbean Care Group,North West
Africans Unite Against Child Abuse,London & South East
Aga Khan Foundation (United Kingdom),London & South East
Agincare Homes Holdings Ltd,Wales & South West
Agnivesh Ayurveda Health Ltd,Midlands & East of England
Ailsa House Residential Care Home,Midlands & East of England
Aintree University Hospitals NHS Foundation Trust,North West
Airedale NHS Trust,"North East, Yorkshire & the Humber"
Airedale Nursing Home,London & South East
AJ Social Care Recruitment Limited,"North East, Yorkshire & the Humber"
AJM MANSELL LTD,London & South East
AK Pritchard & Associates,London & South East
AKAM CARE LIMITED (Business Address),Scotland & Northern Ireland
Akari Care Ltd,Midlands & East of England
Aksam Limited,London & South East
AL BIRR FOUNDATION UK,London & South East
alban quality care ltd,Wales & South West
Alchemy Dental Practice Ltd,North West
Alcon Laboratories (UK) Ltd,Midlands & East of England
Alder Hey Childrens NHS Foundation Trust,North West
Alexander Park Homes LTD,London & South East
Alexandra House Care Services,Midlands & East of England
Alimera Sciences Limited,London & South East
Alison Brett Dental Care LLP,"North East, Yorkshire & the Humber"
All Hallows Healthcare Trust,Midlands & East of England
Allenbrook Care Ltd,Wales & South West
Allergan Limited,London & South East
Alliance Medical Limited,Midlands & East of England
Allied Care Ltd & Associated Group of Companies,London & South East
Alpenbest Limited,London & South East
Alpha Care (Caterham) Ltd,London & South East
Alpha Care Castlemaine Ltd,London & South East
